aX,aY,aZ,gX,gY,gZ
0.825,2.800,-0.385,22.217,69.153,-28.564
1.421,4.000,-1.506,126.648,28.503,-18.372
1.837,4.000,-1.558,125.610,30.334,47.302
2.938,4.000,1.666,-87.830,134.644,157.104
4.000,4.000,4.000,-162.170,163.391,222.717
4.000,4.000,2.583,110.107,-4.578,364.563
2.457,1.563,-0.176,446.228,-214.661,557.190
0.974,-2.087,-2.818,569.519,-360.352,567.688
0.340,-2.681,-2.323,529.358,-344.788,399.963
0.319,-3.304,-2.774,524.841,-314.392,282.898
0.583,-2.424,-3.228,542.419,-312.866,256.104
1.407,-1.853,-2.098,517.090,-214.233,308.105
2.887,-0.731,0.531,450.012,-68.176,389.526
4.000,2.650,2.818,228.699,-28.320,386.963
2.465,0.730,-1.869,169.250,-244.324,431.641
1.683,-0.018,0.026,211.731,-266.235,470.520
1.425,-1.179,0.896,236.938,-240.845,479.248
1.070,-0.434,1.342,247.192,-268.372,458.313
1.512,0.349,1.879,156.860,-258.362,414.917
1.745,0.059,1.727,123.779,-266.052,399.658
1.063,-0.266,1.505,134.338,-298.889,371.521
0.045,-0.572,1.062,109.314,-327.026,324.585
-0.548,-0.612,0.826,79.590,-335.754,255.066
-0.962,-0.397,0.801,70.129,-337.219,183.044
-1.589,0.506,0.815,59.998,-332.642,131.836
-1.625,0.983,1.052,42.725,-292.786,123.108
-1.586,0.965,1.100,39.917,-252.380,127.869
-1.644,0.872,0.943,49.133,-229.858,128.845
-1.526,0.868,0.867,49.316,-207.520,127.075
-1.219,1.124,0.974,32.776,-178.223,127.014
-0.975,1.311,1.010,12.085,-145.325,127.563
-0.821,1.133,1.042,2.625,-113.159,123.779
-0.709,0.800,1.062,3.418,-87.524,116.516
-0.607,0.528,1.007,10.864,-69.458,107.910
-0.689,0.345,0.938,13.184,-55.359,102.234
-0.920,0.102,0.975,8.240,-46.082,103.271
-1.149,-0.057,0.868,0.305,-39.917,98.572
-1.196,0.031,0.759,-6.531,-34.912,83.008
-1.155,0.109,0.560,-17.578,-26.306,64.087
-1.013,0.267,0.433,-28.564,-7.996,48.523
-0.876,0.203,0.488,-35.461,10.620,42.725
-0.736,0.073,0.447,-40.039,23.010,38.086
-0.586,0.008,0.439,-39.429,29.602,30.334
-0.395,0.124,0.501,-40.100,31.250,23.315
-0.295,0.252,0.499,-42.542,28.992,19.409
-0.219,0.314,0.526,-44.678,28.687,16.113
-0.147,0.323,0.501,-44.250,30.518,11.841
-0.108,0.220,0.504,-42.908,34.668,7.263
-0.122,0.055,0.456,-43.518,38.330,-1.404
-0.167,-0.093,0.372,-44.800,40.039,-15.564
-0.184,-0.217,0.338,-46.997,41.748,-33.691
-0.142,-0.212,0.448,-49.438,43.396,-52.368
-0.138,-0.190,0.615,-51.453,40.955,-68.237
-0.173,-0.167,0.720,-55.054,33.997,-83.618
-0.188,-0.099,0.682,-57.495,24.597,-98.816
-0.187,0.105,0.558,-55.542,16.541,-111.572
-0.167,0.328,0.465,-52.246,15.259,-116.882
-0.188,0.470,0.417,-55.847,21.057,-115.845
-0.267,0.504,0.399,-72.083,29.846,-112.915
-0.414,0.525,0.416,-96.313,38.635,-110.291
-0.517,0.443,0.443,-121.155,46.509,-108.704
-0.682,0.517,0.598,-139.648,55.969,-112.488
-0.787,0.549,0.635,-146.851,53.833,-110.779
-0.813,0.536,0.652,-142.029,50.232,-108.276
-0.790,0.596,0.617,-135.193,49.866,-107.300
-0.686,0.750,0.582,-131.775,47.791,-103.394
-0.550,0.953,0.568,-126.099,43.762,-98.816
-0.378,1.108,0.577,-123.352,37.842,-93.872
-0.269,1.174,0.532,-130.249,31.494,-89.233
-0.215,1.159,0.476,-144.836,30.273,-88.440
-0.172,1.131,0.447,-155.640,38.452,-95.886
-0.087,1.201,0.561,-155.334,52.124,-102.966
-0.111,1.386,0.654,-136.963,56.274,-99.854
-0.158,1.561,0.738,-101.440,51.941,-88.135
-0.208,1.663,0.681,-60.669,39.673,-77.942
-0.142,1.785,0.605,-35.461,29.480,-76.050
-0.098,1.930,0.581,-43.396,22.339,-68.787
0.059,1.851,0.629,-69.275,20.752,-53.650
0.284,1.686,0.769,-84.229,24.292,-44.495
0.318,1.468,0.834,-79.773,19.531,-35.217
0.285,1.396,0.867,-56.885,13.062,-27.283
0.195,1.212,0.766,-21.179,4.333,-16.602
0.084,1.035,0.620,14.404,-6.042,-12.695
-0.054,0.884,0.490,35.339,-16.724,-16.602
-0.138,0.846,0.348,43.152,-24.475,-25.940
-0.253,0.822,0.233,45.959,-26.611,-34.668
-0.346,0.774,0.130,41.443,-23.621,-39.917
-0.328,0.653,0.150,26.672,-7.690,-44.312
-0.201,0.589,0.280,3.662,17.212,-48.706
-0.023,0.617,0.432,-16.602,39.001,-52.673
0.087,0.651,0.468,-26.123,48.523,-54.321
0.153,0.730,0.455,-20.569,47.302,-55.420
0.164,0.781,0.399,-8.606,36.743,-54.565
0.108,0.752,0.301,2.014,22.705,-56.702
0.036,0.690,0.303,1.404,16.663,-62.195
-0.021,0.658,0.397,-13.611,18.127,-67.200
-0.015,0.687,0.566,-35.767,25.574,-72.021
0.050,0.753,0.687,-54.443,30.090,-73.364
0.091,0.776,0.642,-64.087,25.513,-69.214
0.205,0.845,0.576,-64.392,19.714,-65.674
0.259,1.009,0.540,-59.753,15.991,-63.171
0.288,1.044,0.454,-48.645,14.343,-60.059
0.293,1.116,0.385,-34.546,17.517,-66.528
